"ID,Judge Name,Is male,Court,District,Municipal,Justice,Probate,County,Type,Political,Sex,Financial,Corruption,Legal,Other,Sanction,Sanction_2,Public reprimand,Resignation,Public admonition,Public warning,Suspension,Removed,Sanction 2"
"1,""Abascal III, Amado J."",1,District,1,0,0,0,0,Political,1,0,0,0,0,0,Public reprimand,,1,0,0,0,0,0,0"
"2,""Blackstock, James A. "",1,County,0,0,0,0,1,Sex,0,1,0,0,0,0,Resignation,,0,1,0,0,0,0,0"
"3,""Boyett, George"",1,Justice,0,0,1,0,0,Other,0,0,0,0,0,1,Public admonition ,,0,0,1,0,0,0,0"
"4,""Brockwell, Fred"",1,Justice,0,0,1,0,0,Other,0,0,0,0,0,1,Public admonition ,,0,0,1,0,0,0,0"
"5,""David, Richard W.B"",1,District,1,0,0,0,0,Political,1,0,0,0,0,0,Public reprimand,,1,0,0,0,0,0,0"
"6,""De Leon, Martin"",1,Justice,0,0,1,0,0,Political ,1,0,0,0,0,0,Resignation,,0,1,0,0,0,0,0"
"7,""De Pena Jr., Hector"",1,Municipal ,0,1,0,0,0,Sex,0,1,0,0,0,0,Public warning,,0,0,0,1,0,0,0"
"8,""Geick, Gary"",1,Justice,0,0,1,0,0,Legal,0,0,0,0,1,0,Public admonition ,,0,0,1,0,0,0,0"
"9,""Gilbert, Allen"",1,Municipal ,0,1,0,0,0,Sex,0,1,0,0,0,0,Public admonition ,,0,0,1,0,0,0,0"
"10,""Keis, Brent"",1,County,0,0,0,0,1,Other,0,0,0,0,0,1,Public warning,Order of additional education,0,0,0,1,0,0,1"
"11,""Lawless, Lynda"",0,Municipal ,0,1,0,0,0,Legal,0,0,0,0,1,0,Public admonition ,Order of additional education,0,0,1,0,0,0,1"
"12,""Liendo, Hector"",1,Justice,0,0,1,0,0,Other,0,0,0,0,0,1,Public admonition ,,0,0,1,0,0,0,0"
"13,""McCoy, David Monroe"",1,District,1,0,0,0,0,Financial,0,0,1,0,0,0,Resignation,,0,1,0,0,0,0,0"
"14,""Middents, Gregory"",1,Justice,0,0,1,0,0,Legal,0,0,0,0,1,0,Public admonition ,Order of additional education,0,0,1,0,0,0,1"
"15,""Miner, Hal"",1,District ,1,0,0,0,0,Sex,0,1,0,0,0,0,Public warning,Order of additional education,0,0,0,1,0,0,1"
"16,""Barraza, Manuel"",1,District,1,0,0,0,0,Financial,0,0,1,0,0,0,Removed from office following conviction,,0,0,0,0,0,1,0"
"17,""Brennion-Nease, Martha"",0,Municipal ,0,1,0,0,0,N/A,0,0,0,0,0,0,Resignation,,0,1,0,0,0,0,0"
